order_id,customer_id,order_date,order_status,channel,payment_method
O0000038,C01836,2025-04-13,Concluído,Marketplace,Boleto
O0000039,C01836,2024-02-15,Concluído,Site,Cartão
O0000040,C00743,2025-08-22,Concluído,Marketplace,PIX
O0000041,C00743,2023-11-21,Concluído,Site,Cartão
O0000042,C00743,2024-02-11,Concluído,Marketplace,Cartão
O0000043,C04186,2023-08-19,Concluído,Site,PIX
O0000044,C04186,2023-09-24,Concluído,Site,Cartão
O0000045,C04186,2023-07-22,Concluído,App,Cartão
O0000046,C04186,2023-11-17,Concluído,App,Cartão
O0000047,C04186,2025-02-08,Concluído,Site,PIX
O0000048,C04186,2025-10-08,Concluído,Site,Cartão
O0000049,C04186,2025-12-19,Concluído,App,Carteira digital
O0000050,C00131,2025-03-20,Concluído,App,Cartão
O0000051,C00131,2025-05-03,Concluído,App,Carteira digital
O0000052,C00131,2025-12-03,Concluído,Site,Cartão
O0000053,C00464,2025-02-04,Concluído,Site,Carteira digital
O0000054,C00464,2024-07-21,Concluído,Site,Cartão
O0000055,C00464,2025-12-06,Concluído,App,PIX
O0000056,C00464,2023-11-25,Concluído,Site,Cartão
O0000057,C04397,2024-12-14,Concluído,Site,Cartão
O0000058,C01466,2025-11-16,Concluído,App,Cartão
O0000059,C01466,2024-05-29,Concluído,App,PIX
O0000060,C01735,2023-06-13,Concluído,Site,PIX
O0000061,C01123,2025-12-13,Concluído,App,Cartão
O0000062,C01123,2025-12-31,Concluído,Site,PIX
O0000063,C01123,2025-12-21,Concluído,Site,Cartão
O0000064,C01123,2025-12-13,Concluído,Site,Cartão
O0000065,C03535,2024-09-22,Cancelado,Site,Cartão
O0000066,C03535,2023-07-23,Concluído,Marketplace,Carteira digital
O0000067,C00232,2025-10-12,Concluído,Marketplace,Cartão
O0000068,C04963,2024-06-08,Concluído,App,Cartão
O0000069,C01876,2025-11-14,Concluído,Site,PIX
O0000070,C00170,2025-08-17,Concluído,Marketplace,Cartão
O0000071,C00170,2025-06-20,Concluído,Site,Cartão
O0000072,C00170,2025-05-19,Concluído,Site,Cartão
O0000073,C00170,2025-03-25,Concluído,Site,Carteira digital
O0000074,C00170,2025-05-31,Concluído,Site,PIX
O0000075,C00170,2025-09-14,Concluído,Marketplace,Cartão
O0000076,C00170,2025-03-29,Concluído,Site,Cartão
O0000077,C00170,2025-08-18,Concluído,App,PIX
O0000078,C00170,2025-03-31,Concluído,Site,Cartão
O0000079,C00170,2025-02-21,Concluído,App,Cartão
O0000080,C00170,2025-03-11,Concluído,Site,PIX
O0000081,C00170,2025-10-02,Concluído,App,Carteira digital
O0000082,C00170,2025-04-27,Concluído,App,PIX
O0000083,C01372,2025-04-23,Concluído,Site,Boleto
O0000084,C01372,2025-08-12,Concluído,Site,PIX
O0000085,C01372,2025-08-02,Concluído,Marketplace,Cartão
O0000086,C01372,2024-05-04,Concluído,Marketplace,Carteira digital
O0000087,C01372,2024-12-28,Concluído,Site,Cartão
O0000088,C01372,2025-07-09,Concluído,Site,PIX
O0000089,C01372,2024-01-31,Concluído,Marketplace,Cartão
O0000090,C01372,2025-07-24,Concluído,Site,PIX
O0000091,C01372,2024-05-12,Concluído,Site,Cartão
O0000092,C01372,2024-06-14,Concluído,App,Cartão
O0000093,C01372,2025-04-13,Concluído,Site,Cartão
O0000094,C02879,2025-02-14,Concluído,Marketplace,Cartão
O0000095,C02879,2025-04-25,Concluído,Site,Cartão
O0000096,C02879,2023-06-14,Concluído,Site,Carteira digital
O0000097,C02879,2023-04-10,Concluído,App,Boleto
O0000098,C02879,2023-06-02,Concluído,App,PIX
O0000099,C02879,2025-11-18,Concluído,Site,Cartão
O0000100,C02879,2025-12-28,Concluído,Site,Carteira digital
O0000101,C04739,2025-09-27,Concluído,Site,Cartão
O0000102,C04739,2023-05-04,Concluído,App,Cartão
O0000103,C04739,2023-02-28,Concluído,Site,PIX
O0000104,C04739,2024-08-19,Concluído,Site,PIX
O0000105,C03828,2024-03-07,Concluído,Site,Cartão
O0000106,C03828,2023-10-30,Concluído,Site,Cartão
O0000107,C01860,2023-08-13,Concluído,App,Cartão
O0000108,C01860,2023-10-26,Concluído,Marketplace,PIX
O0000109,C02068,2025-05-07,Concluído,Site,Boleto
O0000110,C02068,2024-03-14,Concluído,App,Cartão
O0000111,C00120,2025-03-04,Cancelado,Site,Cartão
O0000112,C00120,2025-06-05,Concluído,Site,Cartão
O0000113,C00120,2025-04-22,Concluído,Site,Boleto
O0000114,C00624,2025-10-20,Concluído,App,Cartão
O0000115,C00624,2025-06-12,Concluído,App,PIX
O0000116,C00624,2025-02-24,Concluído,Site,PIX
O0000117,C00624,2025-12-14,Concluído,App,PIX
O0000118,C03064,2024-07-25,Concluído,Marketplace,PIX
O0000119,C01825,2025-04-29,Concluído,Site,Cartão
O0000120,C01825,2024-05-29,Concluído,Site,Cartão
O0000121,C02155,2024-10-13,Concluído,Site,Cartão
O0000122,C02155,2023-08-05,Concluído,Site,Cartão
O0000123,C02169,2025-11-06,Concluído,Site,Cartão
O0000124,C02169,2024-08-24,Concluído,Site,PIX
O0000125,C02169,2024-08-29,Devolvido,Site,Carteira digital
O0000126,C02169,2025-11-28,Concluído,Site,PIX
O0000127,C02169,2025-10-10,Concluído,Site,Carteira digital
O0000128,C02169,2025-09-28,Concluído,Site,Cartão
O0000129,C02169,2025-12-27,Cancelado,App,Boleto
O0000130,C02169,2024-02-20,Concluído,Site,Cartão
O0000131,C02169,2025-11-28,Concluído,Site,Cartão
O0000132,C02169,2024-09-07,Concluído,Marketplace,Cartão
O0000133,C02169,2024-03-21,Concluído,Site,Cartão
O0000134,C02169,2023-12-05,Concluído,Site,Boleto
O0000135,C02169,2024-05-09,Concluído,Site,Carteira digital
O0000136,C02169,2023-09-06,Cancelado,Site,Cartão
O0000137,C02169,2025-09-14,Concluído,Site,Cartão
O0000138,C02169,2025-05-19,Concluído,App,Carteira digital
O0000139,C02169,2024-10-14,Concluído,Marketplace,Carteira digital
O0000140,C00929,2025-07-27,Concluído,App,Cartão
O0000141,C01059,2023-07-29,Concluído,App,Cartão
O0000142,C01059,2024-01-01,Concluído,Marketplace,Boleto
O0000143,C01059,2025-01-26,Concluído,Marketplace,PIX
O0000144,C01059,2024-03-14,Concluído,Site,PIX
O0000145,C01059,2025-06-28,Concluído,App,Cartão
O0000146,C01059,2025-06-19,Devolvido,Site,Cartão
O0000147,C01059,2024-07-18,Concluído,App,PIX
O0000148,C04499,2025-07-18,Concluído,App,Carteira digital
O0000149,C04499,2024-03-16,Concluído,App,Cartão
O0000150,C04499,2024-08-13,Concluído,App,Cartão
O0000151,C04499,2024-11-23,Concluído,Marketplace,PIX
O0000152,C04499,2025-11-02,Concluído,App,PIX
O0000153,C04499,2025-08-11,Concluído,App,PIX
O0000154,C04499,2024-05-07,Concluído,App,PIX
O0000155,C04499,2024-09-10,Concluído,Site,PIX
O0000156,C02493,2025-10-17,Concluído,Site,Cartão
O0000157,C02493,2023-09-21,Concluído,Site,Cartão
O0000158,C02493,2023-06-24,Concluído,Site,Cartão
O0000159,C02030,2024-10-15,Concluído,Marketplace,Boleto
O0000160,C02915,2025-09-07,Concluído,Site,Boleto
O0000161,C03967,2023-12-11,Concluído,App,Carteira digital
O0000162,C03967,2025-05-14,Concluído,App,Carteira digital
O0000163,C03967,2025-10-06,Concluído,Site,PIX
O0000164,C01709,2025-05-05,Concluído,Marketplace,Cartão
O0000165,C01709,2024-02-16,Devolvido,App,PIX
O0000166,C04469,2025-02-27,Concluído,Site,Cartão
O0000167,C04469,2025-12-29,Concluído,Site,Cartão
O0000168,C04469,2025-11-01,Concluído,App,Cartão
O0000169,C03380,2025-03-26,Concluído,App,PIX
O0000170,C01780,2025-05-01,Concluído,App,Cartão
O0000171,C01780,2025-05-13,Concluído,App,Cartão
O0000172,C01780,2024-04-02,Concluído,Site,Cartão
O0000173,C01780,2025-01-15,Concluído,App,PIX
O0000174,C01780,2025-06-30,Concluído,Site,Cartão
O0000175,C01780,2025-05-07,Concluído,Marketplace,Cartão
O0000176,C01895,2025-10-30,Concluído,Site,Cartão
O0000177,C01382,2025-07-12,Concluído,Site,Carteira digital
O0000178,C01382,2023-10-20,Concluído,Site,Cartão
O0000179,C01382,2024-10-25,Concluído,Site,PIX
O0000180,C00247,2024-04-23,Concluído,Site,Boleto
O0000181,C00247,2025-02-25,Concluído,App,Carteira digital
O0000182,C00247,2023-06-23,Concluído,App,Cartão
O0000183,C00247,2025-05-17,Concluído,Marketplace,Cartão
O0000184,C00472,2025-12-01,Concluído,Marketplace,Cartão
O0000185,C00472,2025-11-28,Concluído,Site,Cartão
O0000186,C02318,2025-12-16,Concluído,App,Cartão
O0000187,C01393,2024-04-26,Concluído,Marketplace,PIX
O0000188,C04409,2023-07-15,Concluído,App,PIX
O0000189,C04409,2023-05-10,Concluído,App,Cartão
O0000190,C04409,2023-12-26,Concluído,App,Cartão
O0000191,C00444,2025-12-17,Concluído,Site,Cartão
O0000192,C00444,2025-09-01,Concluído,Site,Cartão
O0000193,C00444,2025-09-13,Concluído,Site,Cartão
O0000194,C03426,2024-06-14,Concluído,Site,PIX
O0000195,C03426,2025-04-30,Concluído,Marketplace,PIX
O0000196,C03426,2024-12-30,Concluído,Marketplace,Carteira digital
O0000197,C03426,2025-05-15,Concluído,App,Cartão
O0000198,C04506,2023-12-01,Concluído,Site,PIX
O0000199,C02013,2024-09-01,Concluído,Site,Carteira digital
O0000200,C03081,2025-02-27,Concluído,App,PIX
O0000201,C03806,2024-05-30,Concluído,Site,Cartão
O0000202,C03806,2025-11-03,Concluído,App,Cartão
O0000203,C01220,2025-01-06,Concluído,Site,Cartão
O0000204,C04118,2024-08-24,Concluído,App,Cartão
O0000205,C04118,2024-10-10,Concluído,App,Cartão
O0000206,C04118,2025-06-03,Concluído,Site,PIX
O0000207,C03901,2025-06-10,Concluído,App,Boleto
O0000208,C04295,2025-07-01,Concluído,Site,Cartão
O0000209,C04295,2024-10-17,Concluído,App,Boleto
O0000210,C04295,2025-05-13,Concluído,Site,Cartão
O0000211,C00511,2025-10-05,Cancelado,Site,Carteira digital
O0000212,C00511,2025-10-30,Concluído,Site,PIX
O0000213,C04910,2025-02-09,Concluído,Site,PIX
O0000214,C04180,2025-12-03,Concluído,Site,Carteira digital
O0000215,C04180,2025-11-22,Concluído,Site,Carteira digital
O0000216,C04180,2025-10-20,Cancelado,Site,Cartão
O0000217,C04180,2025-11-07,Concluído,Marketplace,Cartão
O0000218,C04180,2025-11-24,Concluído,App,Cartão
O0000219,C03746,2025-06-24,Concluído,Site,Carteira digital
O0000220,C03746,2025-12-09,Concluído,Site,Cartão
O0000221,C03746,2025-12-27,Concluído,Marketplace,Cartão
O0000222,C04593,2024-11-15,Concluído,Site,Cartão
O0000223,C04297,2025-01-01,Concluído,Site,Cartão
O0000224,C04297,2025-09-30,Concluído,Site,Cartão
O0000225,C04297,2023-07-19,Concluído,Site,Cartão
O0000226,C04297,2023-05-01,Concluído,App,Cartão
O0000227,C00115,2025-03-01,Concluído,Site,Cartão
O0000228,C00420,2025-12-13,Concluído,Site,Cartão
O0000229,C01255,2025-11-12,Concluído,App,Carteira digital
O0000230,C01255,2024-11-24,Concluído,App,Cartão
O0000231,C02809,2024-09-06,Concluído,App,Boleto
O0000232,C04074,2025-05-15,Concluído,App,Cartão
O0000233,C03046,2023-10-15,Devolvido,Site,Cartão
O0000234,C03046,2025-08-02,Concluído,Site,Cartão
O0000235,C03046,2024-04-29,Concluído,Marketplace,PIX
O0000236,C03046,2024-01-13,Concluído,App,PIX
O0000237,C03046,2025-10-04,Concluído,Site,Cartão
O0000238,C03046,2024-08-05,Concluído,App,Carteira digital
O0000239,C03046,2023-08-06,Concluído,App,Cartão
O0000240,C03046,2025-09-07,Concluído,Marketplace,PIX
O0000241,C03046,2024-09-29,Concluído,Site,Cartão
O0000242,C03046,2025-07-17,Concluído,Site,Cartão
O0000243,C03046,2024-11-25,Concluído,Site,Cartão
O0000244,C03046,2024-01-24,Concluído,Site,PIX
O0000245,C03046,2024-02-06,Concluído,Site,Cartão
O0000246,C03046,2023-08-21,Concluído,Site,Carteira digital
O0000247,C03046,2024-10-05,Concluído,Site,PIX
O0000248,C02391,2024-03-29,Concluído,App,Cartão
O0000249,C02391,2024-11-02,Concluído,App,Cartão
O0000250,C00668,2025-04-17,Concluído,App,PIX
O0000251,C00668,2025-03-29,Concluído,Site,Cartão
O0000252,C00668,2025-11-30,Concluído,App,Carteira digital
O0000253,C00668,2025-08-10,Concluído,App,Cartão
O0000254,C00668,2025-11-10,Concluído,Site,Cartão
O0000255,C00668,2025-10-17,Cancelado,App,Cartão
O0000256,C04682,2025-04-26,Concluído,Marketplace,Carteira digital
O0000257,C00763,2025-10-07,Concluído,Site,Cartão
O0000258,C00763,2025-09-16,Concluído,App,Cartão
O0000259,C00763,2025-06-16,Concluído,Site,PIX
O0000260,C00763,2025-10-27,Concluído,Marketplace,Cartão
O0000261,C00763,2025-04-16,Concluído,Site,Cartão
O0000262,C01658,2024-01-17,Concluído,Site,Cartão
O0000263,C01982,2025-06-07,Concluído,App,Cartão
O0000264,C02356,2025-05-21,Cancelado,Marketplace,PIX
O0000265,C00229,2024-12-19,Concluído,App,PIX
O0000266,C00229,2025-11-10,Concluído,Site,Cartão
O0000267,C00229,2025-06-16,Concluído,Marketplace,Cartão
O0000268,C00229,2025-01-11,Concluído,Marketplace,Cartão
O0000269,C02255,2025-02-06,Concluído,Marketplace,Cartão
O0000270,C02255,2025-03-14,Concluído,Site,Cartão
O0000271,C00307,2025-10-10,Concluído,Site,Cartão
O0000272,C00307,2024-06-12,Concluído,Site,PIX
O0000273,C00307,2024-11-23,Concluído,Site,Cartão
O0000274,C00307,2024-05-06,Concluído,Marketplace,Cartão
O0000275,C00307,2025-10-20,Concluído,Site,Carteira digital
O0000276,C00307,2023-07-13,Concluído,Marketplace,Carteira digital
O0000277,C00307,2024-02-26,Concluído,Site,Cartão
O0000278,C02056,2025-06-15,Concluído,Marketplace,Cartão
O0000279,C02056,2024-07-26,Concluído,Marketplace,Cartão
O0000280,C02056,2025-04-19,Cancelado,Marketplace,Cartão
O0000281,C02581,2025-12-02,Concluído,Marketplace,Cartão
O0000282,C02581,2025-08-24,Concluído,Marketplace,PIX
O0000283,C02828,2024-04-25,Concluído,Site,Cartão
O0000284,C03262,2025-11-01,Concluído,Site,Cartão
O0000285,C03262,2025-09-24,Concluído,Marketplace,PIX
O0000286,C04960,2025-09-29,Concluído,Site,Cartão
O0000287,C04960,2025-07-26,Concluído,Site,Boleto
O0000288,C04960,2025-06-24,Concluído,App,PIX
O0000289,C04960,2025-11-06,Devolvido,Marketplace,PIX
O0000290,C04960,2025-07-04,Concluído,App,Cartão
O0000291,C04960,2025-12-24,Concluído,Site,Carteira digital
O0000292,C04960,2025-12-20,Concluído,Site,Carteira digital
O0000293,C04960,2025-09-26,Concluído,App,Carteira digital
O0000294,C04960,2025-06-24,Concluído,Site,Cartão
O0000295,C04960,2025-08-14,Concluído,App,Cartão
O0000296,C04960,2025-10-31,Concluído,Site,Boleto
O0000297,C04960,2025-07-30,Concluído,App,PIX
O0000298,C03522,2025-12-28,Concluído,Site,Cartão
O0000299,C00609,2024-06-17,Concluído,App,Cartão
O0000300,C00609,2023-05-19,Concluído,Site,Cartão
O0000301,C03008,2025-12-05,Concluído,App,PIX
O0000302,C03008,2025-09-30,Concluído,App,Cartão
O0000303,C02225,2025-12-25,Concluído,Site,Cartão
O0000304,C02225,2025-12-28,Concluído,Site,PIX
O0000305,C00363,2025-04-30,Concluído,Site,Cartão
O0000306,C00363,2023-12-04,Concluído,App,Cartão
O0000307,C00363,2025-05-17,Concluído,Site,Cartão
O0000308,C02339,2025-02-04,Concluído,Site,Cartão
O0000309,C02339,2025-09-09,Concluído,Site,Cartão
O0000310,C02339,2025-04-05,Concluído,App,PIX
O0000311,C02339,2025-08-01,Concluído,Site,Cartão
O0000312,C02339,2024-12-29,Concluído,App,Cartão
O0000313,C02339,2025-01-12,Concluído,Marketplace,Cartão
O0000314,C02339,2025-02-20,Concluído,App,Cartão
O0000315,C02339,2025-05-15,Concluído,App,Cartão
O0000316,C02339,2025-06-30,Concluído,Marketplace,Cartão
O0000317,C02339,2025-08-22,Concluído,Site,Cartão
O0000318,C02339,2025-09-06,Concluído,App,Cartão
O0000319,C02339,2025-07-08,Concluído,Site,Boleto
O0000320,C02339,2025-09-15,Concluído,Site,Boleto
O0000321,C02339,2025-09-03,Concluído,Site,PIX
O0000322,C02339,2025-06-10,Cancelado,App,Boleto
O0000323,C02339,2025-02-19,Concluído,Site,PIX
O0000324,C02339,2025-08-14,Concluído,Site,Cartão
O0000325,C02339,2024-12-08,Concluído,Site,Cartão
O0000326,C02339,2025-03-20,Concluído,Site,PIX
O0000327,C04467,2024-09-09,Concluído,Marketplace,PIX
O0000328,C04467,2024-02-08,Concluído,Site,Cartão
O0000329,C04467,2024-09-03,Concluído,Site,Cartão
O0000330,C00298,2024-03-11,Concluído,Site,Cartão
O0000331,C02644,2025-12-14,Concluído,Marketplace,Cartão
O0000332,C02644,2024-08-03,Concluído,Site,PIX
O0000333,C03408,2024-12-15,Cancelado,App,PIX
O0000334,C03408,2023-10-29,Concluído,Marketplace,Cartão
O0000335,C03408,2023-10-11,Concluído,Marketplace,Cartão
O0000336,C01099,2024-09-15,Concluído,Site,Cartão
O0000337,C01099,2024-09-22,Concluído,App,PIX
O0000338,C01099,2025-07-16,Concluído,App,Cartão
O0000339,C00881,2025-05-02,Concluído,App,Cartão
O0000340,C00881,2024-09-22,Concluído,Marketplace,Cartão
O0000341,C02021,2023-10-10,Concluído,Site,PIX
O0000342,C01088,2025-10-30,Concluído,App,PIX
O0000343,C00801,2024-09-17,Concluído,Marketplace,PIX
O0000344,C04329,2025-02-25,Concluído,App,Carteira digital
O0000345,C04329,2024-06-24,Concluído,Site,Cartão
O0000346,C04329,2024-09-19,Concluído,Site,PIX
O0000347,C04329,2023-05-23,Concluído,Marketplace,Cartão
O0000348,C00263,2025-06-21,Concluído,Marketplace,Cartão
O0000349,C00391,2025-07-23,Concluído,Site,Carteira digital
O0000350,C03599,2024-11-18,Concluído,Marketplace,Cartão
O0000351,C03599,2025-05-30,Concluído,App,Cartão
O0000352,C00214,2024-01-22,Concluído,Site,Boleto
O0000353,C00214,2024-04-01,Concluído,App,Cartão
O0000354,C00214,2024-09-12,Concluído,Site,PIX
O0000355,C00850,2024-11-29,Concluído,Site,Cartão
O0000356,C00850,2024-12-20,Concluído,Site,Carteira digital
O0000357,C03289,2025-03-25,Concluído,App,PIX
O0000358,C03289,2025-04-11,Concluído,Marketplace,PIX
O0000359,C03289,2025-04-12,Concluído,Site,Cartão
O0000360,C02193,2025-12-06,Concluído,Marketplace,Carteira digital
O0000361,C02193,2024-04-28,Concluído,Site,Cartão
O0000362,C03605,2025-03-10,Concluído,Marketplace,PIX
O0000363,C03605,2025-02-21,Concluído,Marketplace,Cartão
O0000364,C04503,2024-12-19,Concluído,Site,PIX
O0000365,C04503,2025-02-28,Concluído,Site,Cartão
O0000366,C03637,2025-11-17,Concluído,Site,Cartão
O0000367,C03637,2025-08-21,Concluído,App,PIX
O0000368,C03637,2025-12-24,Concluído,App,Cartão
O0000369,C03637,2025-09-24,Concluído,Marketplace,Carteira digital
O0000370,C03637,2025-12-29,Concluído,Site,Carteira digital
O0000371,C03637,2025-07-16,Concluído,Marketplace,Cartão
O0000372,C03633,2025-04-30,Concluído,Site,Cartão
O0000373,C03633,2024-06-01,Concluído,Site,Carteira digital
O0000374,C03633,2024-09-08,Concluído,App,Carteira digital
O0000375,C01184,2025-09-05,Concluído,Site,Cartão
O0000376,C01184,2025-02-27,Concluído,Site,Cartão
O0000377,C01184,2025-11-22,Concluído,Site,Cartão
O0000378,C04930,2023-02-22,Concluído,Site,Cartão
O0000379,C04930,2023-05-16,Concluído,Site,Carteira digital
O0000380,C04930,2025-11-28,Concluído,Site,PIX
O0000381,C04930,2025-03-30,Concluído,Site,Boleto
O0000382,C04930,2025-03-06,Concluído,Site,Boleto
O0000383,C04930,2023-09-17,Concluído,App,Cartão
O0000384,C04930,2025-04-03,Concluído,Marketplace,Cartão
O0000385,C04930,2023-11-21,Devolvido,Site,Cartão
O0000386,C04930,2023-04-20,Concluído,Marketplace,Carteira digital
O0000387,C04930,2023-01-08,Concluído,Site,Cartão
O0000388,C03987,2025-09-11,Concluído,App,Carteira digital
O0000389,C03662,2025-07-01,Concluído,Site,PIX
O0000390,C03662,2025-11-08,Concluído,Site,Carteira digital
O0000391,C03661,2024-12-06,Concluído,App,Boleto
O0000392,C03661,2025-09-02,Concluído,Site,Cartão
O0000393,C03661,2025-02-23,Concluído,Site,Cartão
O0000394,C03661,2025-08-07,Concluído,Marketplace,Cartão
O0000395,C03661,2025-04-19,Concluído,App,Cartão
O0000396,C03661,2025-03-04,Devolvido,App,Cartão
O0000397,C03661,2025-01-19,Concluído,Site,Carteira digital
O0000398,C03661,2025-03-16,Concluído,Marketplace,PIX
O0000399,C03661,2024-12-30,Concluído,Site,Cartão
O0000400,C03661,2025-07-24,Concluído,App,Cartão
O0000401,C03661,2025-10-24,Concluído,Site,Boleto
O0000402,C03661,2025-07-26,Cancelado,Marketplace,PIX
O0000403,C03661,2025-11-06,Concluído,Site,Carteira digital
O0000404,C03661,2025-03-03,Concluído,App,PIX
O0000405,C03661,2025-08-08,Concluído,App,Cartão
O0000406,C01633,2024-10-18,Concluído,Site,PIX
O0000407,C03026,2025-05-12,Concluído,App,Cartão
O0000408,C03026,2025-06-14,Cancelado,App,Carteira digital
O0000409,C03026,2025-06-15,Concluído,Site,Cartão
O0000410,C03026,2025-05-20,Concluído,Site,Cartão
O0000411,C04335,2025-01-30,Concluído,App,Cartão
O0000412,C04335,2024-03-27,Concluído,Site,Cartão
O0000413,C04335,2024-06-22,Concluído,Marketplace,Boleto
O0000414,C04335,2023-12-25,Concluído,App,Cartão
O0000415,C02243,2025-10-18,Concluído,Site,Carteira digital
O0000416,C02243,2025-10-22,Concluído,App,Carteira digital
O0000417,C02454,2025-06-19,Concluído,Site,Cartão
O0000418,C01790,2024-04-12,Concluído,Marketplace,Carteira digital
O0000419,C01790,2025-12-25,Concluído,Marketplace,Cartão
O0000420,C03260,2025-12-13,Concluído,Site,PIX
O0000421,C03260,2025-12-10,Concluído,Site,Cartão
O0000422,C03260,2025-12-22,Concluído,Site,Cartão
O0000423,C03260,2025-12-23,Concluído,App,Carteira digital
O0000424,C04572,2025-05-31,Concluído,Site,Carteira digital
O0000425,C01970,2024-02-19,Concluído,Site,PIX
O0000426,C04110,2025-07-09,Concluído,Site,PIX
O0000427,C01521,2024-08-11,Concluído,Site,Boleto
O0000428,C02267,2024-09-13,Concluído,Site,Cartão
O0000429,C02267,2025-04-12,Concluído,Site,PIX
O0000430,C02267,2024-12-03,Concluído,Marketplace,Cartão
O0000431,C02267,2025-11-11,Concluído,Site,Cartão
O0000432,C00637,2025-01-08,Concluído,App,PIX
O0000433,C02321,2024-05-06,Concluído,Site,PIX
O0000434,C02321,2024-08-11,Concluído,Site,Cartão
O0000435,C02321,2025-06-05,Concluído,Marketplace,Cartão
O0000436,C02321,2024-02-28,Concluído,Marketplace,PIX
O0000437,C03723,2025-05-13,Concluído,Site,Carteira digital
O0000438,C03723,2025-06-30,Concluído,Site,Cartão
O0000439,C02955,2025-06-06,Concluído,App,Cartão
O0000440,C04155,2025-02-05,Concluído,Marketplace,Boleto
O0000441,C04155,2025-04-18,Concluído,Site,Cartão
O0000442,C04155,2024-09-30,Concluído,App,PIX
O0000443,C04155,2025-04-22,Concluído,App,Cartão
O0000444,C04155,2025-01-02,Concluído,App,PIX
O0000445,C03961,2025-08-15,Concluído,Site,PIX
O0000446,C03961,2025-12-09,Concluído,App,Cartão
O0000447,C03961,2025-07-03,Concluído,App,Cartão
O0000448,C03018,2024-11-14,Concluído,Site,Cartão
O0000449,C04752,2024-09-14,Concluído,Site,PIX
O0000450,C03098,2024-11-18,Concluído,Site,Cartão
O0000451,C03098,2025-08-19,Concluído,Site,PIX
O0000452,C01853,2024-12-27,Concluído,Site,Cartão
O0000453,C01853,2025-07-19,Concluído,Site,PIX
O0000454,C01044,2025-12-16,Concluído,Marketplace,Cartão
O0000455,C01044,2025-11-29,Concluído,Site,Carteira digital
O0000456,C03492,2024-02-21,Concluído,App,PIX
O0000457,C03492,2023-11-18,Concluído,Site,Cartão
O0000458,C04051,2024-03-15,Concluído,App,Cartão
O0000459,C04051,2025-03-03,Concluído,App,PIX
O0000460,C04051,2025-02-05,Concluído,Site,Cartão
O0000461,C04051,2024-02-10,Concluído,Site,Carteira digital
O0000462,C04051,2023-11-01,Concluído,Site,Cartão
O0000463,C04051,2023-07-29,Concluído,Site,PIX
O0000464,C04051,2024-01-03,Concluído,Site,Cartão
O0000465,C04051,2025-11-01,Concluído,Site,Cartão
O0000466,C04051,2023-12-19,Concluído,Site,PIX
O0000467,C04051,2024-09-14,Concluído,Marketplace,PIX
O0000468,C04051,2023-07-14,Concluído,Site,Cartão
O0000469,C04051,2025-05-12,Concluído,Site,Carteira digital
O0000470,C04051,2025-01-27,Concluído,Site,PIX
O0000471,C04051,2025-05-12,Concluído,Site,PIX
O0000472,C04051,2025-02-15,Concluído,Site,PIX
O0000473,C04051,2025-12-13,Concluído,Marketplace,Carteira digital
O0000474,C04051,2025-05-11,Concluído,Site,Cartão
O0000475,C00885,2025-12-07,Concluído,Marketplace,Carteira digital
