customer_id,signup_date,state,region,customer_segment
C00115,2024-07-17,SP,Sudeste,Mass Market
C00116,2023-12-23,PE,Nordeste,Intermediário
C00117,2024-10-04,GO,Centro-Oeste,Mass Market
C00118,2022-07-18,SC,Sul,Intermediário
C00119,2023-04-21,SP,Sudeste,Mass Market
C00120,2025-02-21,PA,Norte,Mass Market
C00121,2024-03-02,SC,Sul,Mass Market
C00122,2023-01-03,PR,Sul,Intermediário
C00123,2023-03-30,AC,Norte,Premium
C00124,2024-09-01,RJ,Sudeste,Intermediário
C00125,2024-01-21,SP,Sudeste,Premium
C00126,2023-12-07,MA,Nordeste,Mass Market
C00127,2024-03-15,MT,Centro-Oeste,Intermediário
C00128,2024-05-18,ES,Sudeste,Mass Market
C00129,2024-04-13,SE,Nordeste,Mass Market
C00130,2022-07-31,SP,Sudeste,Intermediário
C00131,2022-12-08,GO,Centro-Oeste,Mass Market
C00132,2023-09-26,RJ,Sudeste,Premium
C00133,2025-10-28,MG,Sudeste,Premium
C00134,2025-12-31,SP,Sudeste,Mass Market
C00135,2022-10-24,SC,Sul,Intermediário
C00136,2022-12-22,MG,Sudeste,Mass Market
C00137,2023-08-10,MG,Sudeste,Mass Market
C00138,2025-08-01,AM,Norte,Mass Market
C00139,2023-07-16,RJ,Sudeste,Mass Market
C00140,2024-02-14,PR,Sul,Mass Market
C00141,2025-10-09,SP,Sudeste,Premium
C00142,2023-07-03,SP,Sudeste,Mass Market
C00143,2022-12-08,SC,Sul,Mass Market
C00144,2023-10-11,SP,Sudeste,Premium
C00145,2023-10-13,MG,Sudeste,Intermediário
C00146,2025-01-03,SP,Sudeste,Mass Market
C00147,2025-08-11,RJ,Sudeste,Mass Market
C00148,2022-04-26,SP,Sudeste,Mass Market
C00149,2023-02-26,MG,Sudeste,Mass Market
C00150,2022-06-24,SP,Sudeste,Premium
C00151,2025-01-07,MG,Sudeste,Mass Market
C00152,2025-12-08,SP,Sudeste,Intermediário
C00153,2022-03-14,MG,Sudeste,Mass Market
C00154,2022-02-07,RJ,Sudeste,Intermediário
C00155,2025-04-25,SC,Sul,Mass Market
C00156,2025-05-28,MS,Centro-Oeste,Mass Market
C00157,2025-03-02,SP,Sudeste,Mass Market
C00158,2023-06-04,SC,Sul,Intermediário
C00159,2022-08-20,MG,Sudeste,Intermediário
C00160,2022-07-16,RS,Sul,Premium
C00161,2025-01-22,SP,Sudeste,Mass Market
C00162,2022-10-25,GO,Centro-Oeste,Mass Market
C00163,2024-07-13,RS,Sul,Intermediário
C00164,2022-01-02,RJ,Sudeste,Intermediário
C00165,2025-08-04,MG,Sudeste,Mass Market
C00166,2022-04-01,MG,Sudeste,Mass Market
C00167,2023-01-06,SP,Sudeste,Intermediário
C00168,2025-04-21,SC,Sul,Intermediário
C00169,2025-03-26,ES,Sudeste,Intermediário
C00170,2025-02-10,SP,Sudeste,Premium
C00171,2024-12-21,RJ,Sudeste,Mass Market
C00172,2024-06-13,PA,Norte,Mass Market
C00173,2025-08-01,ES,Sudeste,Intermediário
C00174,2024-07-10,PR,Sul,Mass Market
C00175,2022-02-02,SP,Sudeste,Intermediário
C00176,2024-12-24,MG,Sudeste,Mass Market
C00177,2022-05-15,RJ,Sudeste,Intermediário
C00178,2025-11-06,RS,Sul,Intermediário
C00179,2022-06-06,SP,Sudeste,Intermediário
C00180,2023-08-15,RS,Sul,Mass Market
C00181,2024-06-24,PR,Sul,Mass Market
C00182,2025-04-30,PI,Nordeste,Premium
C00183,2023-11-19,GO,Centro-Oeste,Intermediário
C00184,2025-01-26,MG,Sudeste,Premium
C00185,2022-03-13,MG,Sudeste,Mass Market
C00186,2024-09-24,RJ,Sudeste,Intermediário
C00187,2024-06-13,BA,Nordeste,Intermediário
C00188,2025-01-15,RS,Sul,Mass Market
C00189,2025-08-12,MG,Sudeste,Intermediário
C00190,2024-12-08,MG,Sudeste,Mass Market
C00191,2022-04-22,RJ,Sudeste,Mass Market
C00192,2022-09-08,PE,Nordeste,Mass Market
C00193,2025-05-14,RN,Nordeste,Mass Market
C00194,2023-08-19,PB,Nordeste,Premium
C00195,2025-04-07,ES,Sudeste,Intermediário
C00196,2025-11-22,ES,Sudeste,Mass Market
C00197,2024-05-11,RJ,Sudeste,Mass Market
C00198,2023-01-11,SP,Sudeste,Mass Market
C00199,2025-11-13,RS,Sul,Intermediário
C00200,2022-09-04,RJ,Sudeste,Intermediário
C00201,2023-05-24,GO,Centro-Oeste,Intermediário
C00202,2022-11-26,RR,Norte,Premium
C00203,2023-08-02,SP,Sudeste,Mass Market
C00204,2022-08-14,MT,Centro-Oeste,Intermediário
C00205,2022-05-05,SP,Sudeste,Mass Market
C00206,2025-09-06,PR,Sul,Mass Market
C00207,2025-06-26,AL,Nordeste,Mass Market
C00208,2023-02-17,PR,Sul,Mass Market
C00209,2024-09-03,RJ,Sudeste,Mass Market
C00210,2025-01-24,MS,Centro-Oeste,Mass Market
C00211,2024-05-01,SP,Sudeste,Premium
C00212,2025-10-18,CE,Nordeste,Intermediário
C00213,2022-05-07,TO,Norte,Intermediário
C00214,2023-03-24,RS,Sul,Mass Market
C00215,2024-12-17,SC,Sul,Mass Market
C00216,2025-07-05,CE,Nordeste,Mass Market
C00217,2022-12-21,PA,Norte,Mass Market
C00218,2025-06-22,MG,Sudeste,Intermediário
C00219,2023-06-03,BA,Nordeste,Intermediário
C00220,2025-09-29,MG,Sudeste,Intermediário
C00221,2023-10-23,PA,Norte,Mass Market
C00222,2022-08-21,MS,Centro-Oeste,Premium
C00223,2022-05-09,PB,Nordeste,Mass Market
C00224,2025-08-07,GO,Centro-Oeste,Mass Market
C00225,2023-07-03,MG,Sudeste,Mass Market
C00226,2024-09-17,MT,Centro-Oeste,Mass Market
C00227,2022-08-19,SC,Sul,Mass Market
C00228,2024-02-24,PA,Norte,Mass Market
C00229,2024-12-10,RJ,Sudeste,Intermediário
C00230,2022-09-25,ES,Sudeste,Intermediário
C00231,2022-10-11,SP,Sudeste,Intermediário
C00232,2025-07-29,MT,Centro-Oeste,Mass Market
C00233,2024-01-31,RJ,Sudeste,Intermediário
C00234,2022-08-13,SP,Sudeste,Intermediário
C00235,2024-09-02,RJ,Sudeste,Intermediário
C00236,2024-03-28,SC,Sul,Intermediário
C00237,2025-09-09,RN,Nordeste,Premium
C00238,2024-10-14,SC,Sul,Mass Market
C00239,2025-07-06,PE,Nordeste,Mass Market
C00240,2022-07-26,GO,Centro-Oeste,Mass Market
C00241,2023-07-06,RS,Sul,Intermediário
C00242,2023-11-16,RJ,Sudeste,Mass Market
C00243,2022-01-23,SP,Sudeste,Mass Market
C00244,2025-04-07,RS,Sul,Mass Market
C00245,2024-05-04,GO,Centro-Oeste,Mass Market
C00246,2024-03-22,SP,Sudeste,Mass Market
C00247,2023-06-11,MG,Sudeste,Intermediário
C00248,2024-04-13,AC,Norte,Premium
C00249,2022-06-06,BA,Nordeste,Mass Market
C00250,2022-05-17,SP,Sudeste,Mass Market
C00251,2022-06-20,SE,Nordeste,Mass Market
C00252,2024-01-16,SP,Sudeste,Mass Market
C00253,2023-01-06,RR,Norte,Mass Market
C00254,2023-09-11,SC,Sul,Mass Market
C00255,2024-09-03,PE,Nordeste,Mass Market
C00256,2025-11-16,RS,Sul,Intermediário
C00257,2025-06-12,PR,Sul,Mass Market
C00258,2022-08-16,SP,Sudeste,Mass Market
C00259,2023-02-05,SP,Sudeste,Mass Market
C00260,2025-01-28,RN,Nordeste,Intermediário
C00261,2024-11-28,SP,Sudeste,Intermediário
C00262,2023-03-19,BA,Nordeste,Mass Market
C00263,2025-06-11,RJ,Sudeste,Mass Market
C00264,2025-03-03,MG,Sudeste,Mass Market
C00265,2025-01-23,RR,Norte,Intermediário
C00266,2025-01-26,RS,Sul,Mass Market
C00267,2024-01-31,DF,Centro-Oeste,Mass Market
C00268,2023-10-28,MT,Centro-Oeste,Mass Market
C00269,2022-06-15,SP,Sudeste,Mass Market
C00270,2023-06-05,SP,Sudeste,Intermediário
C00271,2022-04-04,MG,Sudeste,Intermediário
C00272,2025-05-01,CE,Nordeste,Intermediário
C00273,2023-02-03,MT,Centro-Oeste,Intermediário
C00274,2025-10-10,AL,Nordeste,Mass Market
C00275,2025-08-16,GO,Centro-Oeste,Mass Market
C00276,2024-11-30,MG,Sudeste,Mass Market
C00277,2023-02-16,MS,Centro-Oeste,Intermediário
C00278,2025-03-24,RJ,Sudeste,Mass Market
C00279,2023-07-16,SP,Sudeste,Mass Market
C00280,2022-07-15,ES,Sudeste,Mass Market
C00281,2023-07-18,RS,Sul,Mass Market
C00282,2025-09-05,RJ,Sudeste,Mass Market
C00283,2025-03-10,MG,Sudeste,Intermediário
C00284,2024-09-25,SP,Sudeste,Mass Market
C00285,2024-08-01,SP,Sudeste,Intermediário
C00286,2024-09-27,RS,Sul,Mass Market
C00287,2024-01-07,SP,Sudeste,Intermediário
C00288,2024-04-01,SE,Nordeste,Mass Market
C00289,2025-10-26,MG,Sudeste,Mass Market
C00290,2024-05-31,PR,Sul,Mass Market
C00291,2023-11-10,SP,Sudeste,Intermediário
C00292,2024-09-11,MS,Centro-Oeste,Premium
C00293,2024-06-20,RJ,Sudeste,Intermediário
C00294,2022-09-30,GO,Centro-Oeste,Intermediário
C00295,2022-11-21,RS,Sul,Mass Market
C00296,2024-07-07,MT,Centro-Oeste,Intermediário
C00297,2025-06-23,GO,Centro-Oeste,Mass Market
C00298,2023-06-11,RJ,Sudeste,Mass Market
C00299,2024-01-29,SP,Sudeste,Mass Market
C00300,2025-11-20,SP,Sudeste,Premium
C00301,2025-10-29,SP,Sudeste,Mass Market
C00302,2025-07-23,GO,Centro-Oeste,Mass Market
C00303,2023-05-22,MG,Sudeste,Mass Market
C00304,2024-12-17,PB,Nordeste,Intermediário
C00305,2023-02-21,GO,Centro-Oeste,Intermediário
C00306,2022-07-27,GO,Centro-Oeste,Mass Market
C00307,2022-09-11,BA,Nordeste,Intermediário
C00308,2023-12-03,SP,Sudeste,Premium
C00309,2023-05-07,AL,Nordeste,Mass Market
C00310,2025-07-09,SP,Sudeste,Mass Market
C00311,2022-02-05,SP,Sudeste,Mass Market
C00312,2022-10-06,PE,Nordeste,Intermediário
C00313,2023-02-28,MG,Sudeste,Intermediário
C00314,2022-05-25,GO,Centro-Oeste,Mass Market
C00315,2022-02-11,MG,Sudeste,Mass Market
C00316,2024-08-22,AC,Norte,Mass Market
C00317,2022-03-06,AL,Nordeste,Mass Market
C00318,2022-04-11,MT,Centro-Oeste,Mass Market
C00319,2024-11-25,PA,Norte,Mass Market
C00320,2023-04-08,AL,Nordeste,Premium
C00321,2024-03-04,RJ,Sudeste,Mass Market
C00322,2025-09-23,DF,Centro-Oeste,Intermediário
C00323,2023-06-23,RN,Nordeste,Intermediário
C00324,2022-02-24,BA,Nordeste,Mass Market
C00325,2022-05-01,SC,Sul,Intermediário
C00326,2023-06-06,SP,Sudeste,Mass Market
C00327,2025-09-28,PE,Nordeste,Premium
C00328,2024-10-08,RS,Sul,Intermediário
C00329,2022-06-14,PE,Nordeste,Premium
C00330,2023-07-03,SP,Sudeste,Intermediário
C00331,2025-03-05,MA,Nordeste,Mass Market
C00332,2024-05-28,RN,Nordeste,Intermediário
C00333,2024-03-02,PA,Norte,Mass Market
C00334,2023-05-03,RS,Sul,Intermediário
C00335,2023-02-07,SC,Sul,Mass Market
C00336,2024-09-06,RJ,Sudeste,Mass Market
C00337,2025-03-08,SP,Sudeste,Intermediário
C00338,2024-09-20,SP,Sudeste,Mass Market
C00339,2022-12-13,DF,Centro-Oeste,Intermediário
C00340,2025-08-19,SC,Sul,Intermediário
C00341,2024-02-14,SP,Sudeste,Mass Market
C00342,2022-02-01,SC,Sul,Mass Market
C00343,2024-11-11,MA,Nordeste,Intermediário
C00344,2025-09-06,PA,Norte,Mass Market
C00345,2025-07-25,SP,Sudeste,Mass Market
C00346,2025-01-19,PA,Norte,Intermediário
C00347,2024-09-19,MA,Nordeste,Mass Market
C00348,2025-02-19,RJ,Sudeste,Mass Market
C00349,2024-08-20,PE,Nordeste,Mass Market
C00350,2025-02-22,MT,Centro-Oeste,Intermediário
C00351,2024-01-30,RJ,Sudeste,Premium
C00352,2025-01-21,MG,Sudeste,Intermediário
C00353,2024-12-27,PR,Sul,Mass Market
C00354,2022-04-16,CE,Nordeste,Premium
C00355,2024-04-09,MG,Sudeste,Intermediário
C00356,2024-01-20,PA,Norte,Mass Market
C00357,2023-04-11,BA,Nordeste,Intermediário
C00358,2022-01-11,SP,Sudeste,Mass Market
C00359,2024-02-20,PE,Nordeste,Intermediário
C00360,2025-08-19,PA,Norte,Mass Market
C00361,2025-02-21,SC,Sul,Mass Market
C00362,2022-05-26,GO,Centro-Oeste,Intermediário
C00363,2022-10-12,ES,Sudeste,Mass Market
C00364,2023-07-30,SP,Sudeste,Mass Market
C00365,2023-09-20,RJ,Sudeste,Mass Market
C00366,2023-08-11,BA,Nordeste,Intermediário
C00367,2023-06-24,RJ,Sudeste,Mass Market
C00368,2025-07-03,SP,Sudeste,Premium
C00369,2023-06-26,PI,Nordeste,Premium
C00370,2025-04-26,SP,Sudeste,Mass Market
C00371,2023-12-11,SC,Sul,Premium
C00372,2025-05-28,RN,Nordeste,Mass Market
C00373,2023-05-11,MG,Sudeste,Mass Market
C00374,2024-09-26,PA,Norte,Mass Market
C00375,2025-04-05,RJ,Sudeste,Mass Market
C00376,2023-05-19,RS,Sul,Mass Market
C00377,2022-06-20,RS,Sul,Intermediário
C00378,2025-11-27,RJ,Sudeste,Mass Market
C00379,2024-03-11,MG,Sudeste,Mass Market
C00380,2025-06-13,SP,Sudeste,Premium
C00381,2022-10-26,MT,Centro-Oeste,Intermediário
C00382,2022-07-20,PR,Sul,Mass Market
C00383,2022-11-14,CE,Nordeste,Mass Market
C00384,2023-04-20,PE,Nordeste,Mass Market
C00385,2022-11-05,PI,Nordeste,Intermediário
C00386,2024-04-23,BA,Nordeste,Mass Market
C00387,2022-06-01,SP,Sudeste,Mass Market
C00388,2022-06-16,SP,Sudeste,Intermediário
C00389,2025-10-28,RJ,Sudeste,Intermediário
C00390,2025-10-23,RJ,Sudeste,Mass Market
C00391,2023-03-12,SC,Sul,Mass Market
C00392,2022-01-14,MT,Centro-Oeste,Mass Market
C00393,2023-04-15,SP,Sudeste,Mass Market
C00394,2023-03-10,MG,Sudeste,Intermediário
C00395,2023-11-10,SP,Sudeste,Mass Market
C00396,2022-12-15,BA,Nordeste,Mass Market
C00397,2025-08-26,RS,Sul,Premium
C00398,2023-01-02,SP,Sudeste,Intermediário
C00399,2025-08-30,PB,Nordeste,Mass Market
C00400,2022-09-30,PR,Sul,Premium
C00401,2023-08-15,CE,Nordeste,Intermediário
C00402,2023-06-25,PR,Sul,Mass Market
C00403,2022-10-02,RJ,Sudeste,Mass Market
C00404,2025-08-19,MS,Centro-Oeste,Mass Market
C00405,2024-03-22,SP,Sudeste,Premium
C00406,2023-08-17,SC,Sul,Mass Market
C00407,2024-06-25,MG,Sudeste,Intermediário
C00408,2022-12-04,RS,Sul,Mass Market
C00409,2023-08-19,MG,Sudeste,Mass Market
C00410,2022-12-08,PR,Sul,Intermediário
C00411,2023-04-14,MT,Centro-Oeste,Intermediário
C00412,2025-03-17,SP,Sudeste,Mass Market
C00413,2025-03-11,BA,Nordeste,Mass Market
C00414,2022-07-19,AP,Norte,Mass Market
C00415,2025-03-07,RJ,Sudeste,Intermediário
C00416,2025-03-29,MS,Centro-Oeste,Intermediário
C00417,2023-08-13,RJ,Sudeste,Intermediário
C00418,2024-06-01,SC,Sul,Intermediário
C00419,2024-02-20,RJ,Sudeste,Mass Market
C00420,2025-10-15,MS,Centro-Oeste,Mass Market
C00421,2022-09-03,SP,Sudeste,Mass Market
C00422,2024-12-23,SP,Sudeste,Intermediário
C00423,2023-10-08,AL,Nordeste,Intermediário
C00424,2022-07-14,PA,Norte,Intermediário
C00425,2024-04-12,SP,Sudeste,Mass Market
C00426,2025-12-10,RS,Sul,Premium
C00427,2022-01-05,SP,Sudeste,Intermediário
C00428,2025-12-21,PB,Nordeste,Intermediário
C00429,2024-09-30,RJ,Sudeste,Mass Market
C00430,2023-12-25,MS,Centro-Oeste,Mass Market
C00431,2025-07-21,PE,Nordeste,Premium
C00432,2023-09-05,AC,Norte,Mass Market
C00433,2022-05-15,PA,Norte,Intermediário
C00434,2022-11-05,GO,Centro-Oeste,Mass Market
C00435,2024-08-05,CE,Nordeste,Mass Market
C00436,2022-01-01,SP,Sudeste,Intermediário
C00437,2024-03-30,RJ,Sudeste,Intermediário
C00438,2022-07-19,MG,Sudeste,Mass Market
C00439,2023-07-08,BA,Nordeste,Mass Market
C00440,2023-10-20,SP,Sudeste,Intermediário
C00441,2022-03-30,GO,Centro-Oeste,Mass Market
C00442,2024-04-20,CE,Nordeste,Mass Market
C00443,2024-10-10,SP,Sudeste,Mass Market
C00444,2025-07-28,SP,Sudeste,Intermediário
C00445,2023-09-04,SP,Sudeste,Premium
C00446,2023-08-23,MG,Sudeste,Mass Market
C00447,2023-02-04,MS,Centro-Oeste,Mass Market
C00448,2024-06-23,SP,Sudeste,Mass Market
C00449,2022-11-16,CE,Nordeste,Premium
C00450,2022-11-23,MG,Sudeste,Intermediário
C00451,2023-08-20,PB,Nordeste,Mass Market
C00452,2022-02-01,SP,Sudeste,Intermediário
C00453,2024-12-04,MS,Centro-Oeste,Mass Market
C00454,2024-12-24,ES,Sudeste,Mass Market
C00455,2024-01-31,PE,Nordeste,Premium
C00456,2022-11-21,MG,Sudeste,Mass Market
C00457,2024-08-15,BA,Nordeste,Mass Market
C00458,2022-03-18,SP,Sudeste,Intermediário
C00459,2022-10-05,MG,Sudeste,Mass Market
C00460,2024-01-25,MS,Centro-Oeste,Mass Market
C00461,2023-12-04,PI,Nordeste,Intermediário
C00462,2023-05-05,PR,Sul,Mass Market
C00463,2022-10-10,SP,Sudeste,Intermediário
C00464,2023-05-15,MT,Centro-Oeste,Intermediário
C00465,2024-10-17,BA,Nordeste,Mass Market
C00466,2025-05-14,RS,Sul,Intermediário
C00467,2025-05-07,RJ,Sudeste,Mass Market
C00468,2022-09-17,MA,Nordeste,Mass Market
C00469,2025-07-20,SP,Sudeste,Mass Market
C00470,2022-12-22,RJ,Sudeste,Mass Market
C00471,2024-09-20,GO,Centro-Oeste,Mass Market
C00472,2025-06-09,SP,Sudeste,Mass Market
C00473,2025-09-29,SP,Sudeste,Mass Market
C00474,2024-09-11,GO,Centro-Oeste,Mass Market
C00475,2022-10-11,PR,Sul,Mass Market
C00476,2025-07-16,MG,Sudeste,Mass Market
C00477,2024-11-23,RS,Sul,Mass Market
C00478,2023-03-17,GO,Centro-Oeste,Intermediário
C00479,2025-11-25,SP,Sudeste,Mass Market
C00480,2024-07-23,PB,Nordeste,Mass Market
C00481,2023-05-08,RJ,Sudeste,Intermediário
C00482,2024-07-26,SE,Nordeste,Mass Market
C00483,2025-08-21,PA,Norte,Mass Market
C00484,2023-12-06,SP,Sudeste,Mass Market
C00485,2025-04-01,GO,Centro-Oeste,Intermediário
C00486,2023-08-18,BA,Nordeste,Intermediário
C00487,2022-11-23,PR,Sul,Mass Market
C00488,2023-06-19,SP,Sudeste,Mass Market
C00489,2024-06-05,RS,Sul,Mass Market
C00490,2023-10-19,BA,Nordeste,Mass Market
C00491,2024-05-01,MS,Centro-Oeste,Mass Market
C00492,2024-10-14,PR,Sul,Mass Market
C00493,2023-03-11,RS,Sul,Intermediário
C00494,2025-08-27,PE,Nordeste,Mass Market
C00495,2022-04-26,MG,Sudeste,Intermediário
C00496,2022-06-13,BA,Nordeste,Intermediário
C00497,2025-06-23,BA,Nordeste,Mass Market
C00498,2022-10-22,RJ,Sudeste,Mass Market
C00499,2022-08-14,SP,Sudeste,Mass Market
C00500,2022-01-31,RJ,Sudeste,Intermediário
C00501,2025-09-24,MG,Sudeste,Mass Market
C00502,2022-08-09,PA,Norte,Premium
C00503,2022-02-28,AP,Norte,Mass Market
C00504,2024-09-12,AL,Nordeste,Intermediário
C00505,2022-05-21,ES,Sudeste,Mass Market
C00506,2025-04-21,ES,Sudeste,Mass Market
C00507,2025-08-13,MG,Sudeste,Mass Market
C00508,2022-08-28,MG,Sudeste,Mass Market
C00509,2023-04-15,SP,Sudeste,Intermediário
C00510,2024-11-25,RJ,Sudeste,Mass Market
C00511,2025-02-28,PA,Norte,Mass Market
C00512,2023-10-02,SP,Sudeste,Mass Market
C00513,2025-01-10,PE,Nordeste,Mass Market
C00514,2024-02-29,CE,Nordeste,Mass Market
C00515,2024-08-17,CE,Nordeste,Intermediário
C00516,2024-10-23,MG,Sudeste,Premium
C00517,2022-07-30,RS,Sul,Mass Market
C00518,2023-06-09,MA,Nordeste,Intermediário
C00519,2022-11-24,SC,Sul,Premium
C00520,2025-01-17,PE,Nordeste,Intermediário
C00521,2023-01-09,PE,Nordeste,Mass Market
C00522,2022-05-10,BA,Nordeste,Mass Market
C00523,2025-07-31,BA,Nordeste,Intermediário
C00524,2022-02-23,TO,Norte,Intermediário
C00525,2025-09-22,CE,Nordeste,Intermediário
C00526,2023-05-31,SP,Sudeste,Mass Market
C00527,2025-12-23,MG,Sudeste,Intermediário
C00528,2024-04-01,SP,Sudeste,Mass Market
C00529,2025-12-10,RJ,Sudeste,Intermediário
C00530,2024-04-28,PR,Sul,Intermediário
C00531,2024-05-27,DF,Centro-Oeste,Mass Market
C00532,2023-05-11,GO,Centro-Oeste,Mass Market
C00533,2025-10-19,RS,Sul,Mass Market
C00534,2023-04-05,PR,Sul,Mass Market
C00535,2023-06-09,MG,Sudeste,Intermediário
C00536,2025-02-21,SP,Sudeste,Mass Market
C00537,2022-02-06,PE,Nordeste,Intermediário
C00538,2025-06-06,MG,Sudeste,Mass Market
C00539,2024-04-20,SP,Sudeste,Mass Market
